'' / 'nan'
'4338 Paces Ferry Road Southeast, Atlanta, GA 30339' / 'Plantbaed Cafe'
'437 Memorial Drive Southeast Suite, Atlanta, GA 30312' / 'Six Feet Under Pub & Fish House - Grant Park'
'2201 Savoy Drive, Atlanta, GA 30341' / 'Naga Bistro'
'215 Laredo Drive, Decatur, GA 30030' / 'VTasteCakes'
'3473 Old Norcross Road, Duluth, GA 30096' / 'YUMEE KATSU'
'5263 Buford Highway Northeast, Doraville, GA 30340' / 'Supermercado Chicago Taqueria'
'5000 Buford Highway Northeast, Chamblee, GA 30341' / 'Best BBQ'
'5000 Buford Highway Northeast, Chamblee, GA 30341' / 'Tum Pok Pok'
'4166 Buford Highway Northeast, Atlanta, GA 30345' / 'Plaza Fiesta'
'5303 Buford Highway Northeast, Doraville, GA 30340' / 'Sinaloense Pollo Asados'
'186 Rio Circle, Decatur, GA 30030' / 'Southern Sweets Bakery'
